"","X.1","X","year","co2","month","Date","DateNum"
"521",521,521,2001,373.82,5,"2001-05-01",11443
"522",522,522,2001,373.18,6,"2001-06-01",11474
"523",523,523,2001,371.57,7,"2001-07-01",11504
"524",524,524,2001,369.63,8,"2001-08-01",11535
"525",525,525,2001,368.16,9,"2001-09-01",11566
"526",526,526,2001,368.42,10,"2001-10-01",11596
"527",527,527,2001,369.69,11,"2001-11-01",11627
"528",528,528,2001,371.18,12,"2001-12-01",11657
"529",529,529,2002,372.45,1,"2002-01-01",11688
"530",530,530,2002,373.14,2,"2002-02-01",11719
"531",531,531,2002,373.93,3,"2002-03-01",11747
"532",532,532,2002,375,4,"2002-04-01",11778
"533",533,533,2002,375.65,5,"2002-05-01",11808
"534",534,534,2002,375.5,6,"2002-06-01",11839
"535",535,535,2002,374,7,"2002-07-01",11869
"536",536,536,2002,371.83,8,"2002-08-01",11900
"537",537,537,2002,370.66,9,"2002-09-01",11931
"538",538,538,2002,370.51,10,"2002-10-01",11961
"539",539,539,2002,372.2,11,"2002-11-01",11992
"540",540,540,2002,373.71,12,"2002-12-01",12022
"541",541,541,2003,374.87,1,"2003-01-01",12053
"542",542,542,2003,375.62,2,"2003-02-01",12084
"543",543,543,2003,376.48,3,"2003-03-01",12112
"544",544,544,2003,377.74,4,"2003-04-01",12143
"545",545,545,2003,378.5,5,"2003-05-01",12173
"546",546,546,2003,378.18,6,"2003-06-01",12204
"547",547,547,2003,376.72,7,"2003-07-01",12234
"548",548,548,2003,374.31,8,"2003-08-01",12265
"549",549,549,2003,373.2,9,"2003-09-01",12296
"550",550,550,2003,373.1,10,"2003-10-01",12326
"551",551,551,2003,374.64,11,"2003-11-01",12357
"552",552,552,2003,375.93,12,"2003-12-01",12387
"553",553,553,2004,377,1,"2004-01-01",12418
"554",554,554,2004,377.87,2,"2004-02-01",12449
"555",555,555,2004,378.73,3,"2004-03-01",12478
"556",556,556,2004,380.41,4,"2004-04-01",12509
"557",557,557,2004,380.63,5,"2004-05-01",12539
"558",558,558,2004,379.56,6,"2004-06-01",12570
"559",559,559,2004,377.61,7,"2004-07-01",12600
"560",560,560,2004,376.15,8,"2004-08-01",12631
"561",561,561,2004,374.11,9,"2004-09-01",12662
"562",562,562,2004,374.44,10,"2004-10-01",12692
"563",563,563,2004,375.93,11,"2004-11-01",12723
"564",564,564,2004,377.45,12,"2004-12-01",12753
"565",565,565,2005,378.47,1,"2005-01-01",12784
"566",566,566,2005,379.76,2,"2005-02-01",12815
"567",567,567,2005,381.14,3,"2005-03-01",12843
"568",568,568,2005,382.2,4,"2005-04-01",12874
"569",569,569,2005,382.47,5,"2005-05-01",12904
"570",570,570,2005,382.2,6,"2005-06-01",12935
"571",571,571,2005,380.78,7,"2005-07-01",12965
"572",572,572,2005,378.73,8,"2005-08-01",12996
"573",573,573,2005,376.66,9,"2005-09-01",13027
"574",574,574,2005,376.98,10,"2005-10-01",13057
"575",575,575,2005,378.29,11,"2005-11-01",13088
"576",576,576,2005,379.92,12,"2005-12-01",13118
"577",577,577,2006,381.35,1,"2006-01-01",13149
"578",578,578,2006,382.16,2,"2006-02-01",13180
"579",579,579,2006,382.66,3,"2006-03-01",13208
"580",580,580,2006,384.73,4,"2006-04-01",13239
"581",581,581,2006,384.98,5,"2006-05-01",13269
"582",582,582,2006,384.09,6,"2006-06-01",13300
"583",583,583,2006,382.38,7,"2006-07-01",13330
"584",584,584,2006,380.45,8,"2006-08-01",13361
"585",585,585,2006,378.92,9,"2006-09-01",13392
"586",586,586,2006,379.16,10,"2006-10-01",13422
"587",587,587,2006,380.18,11,"2006-11-01",13453
"588",588,588,2006,381.79,12,"2006-12-01",13483
"589",589,589,2007,382.93,1,"2007-01-01",13514
"590",590,590,2007,383.81,2,"2007-02-01",13545
"591",591,591,2007,384.56,3,"2007-03-01",13573
"592",592,592,2007,386.4,4,"2007-04-01",13604
"593",593,593,2007,386.58,5,"2007-05-01",13634
"594",594,594,2007,386.05,6,"2007-06-01",13665
"595",595,595,2007,384.49,7,"2007-07-01",13695
"596",596,596,2007,382,8,"2007-08-01",13726
"597",597,597,2007,380.9,9,"2007-09-01",13757
"598",598,598,2007,381.14,10,"2007-10-01",13787
"599",599,599,2007,382.42,11,"2007-11-01",13818
"600",600,600,2007,383.89,12,"2007-12-01",13848
"601",601,601,2008,385.44,1,"2008-01-01",13879
"602",602,602,2008,385.73,2,"2008-02-01",13910
"603",603,603,2008,385.97,3,"2008-03-01",13939
"604",604,604,2008,387.16,4,"2008-04-01",13970
"605",605,605,2008,388.5,5,"2008-05-01",14000
"606",606,606,2008,387.88,6,"2008-06-01",14031
"607",607,607,2008,386.42,7,"2008-07-01",14061
"608",608,608,2008,384.15,8,"2008-08-01",14092
"609",609,609,2008,383.09,9,"2008-09-01",14123
"610",610,610,2008,382.99,10,"2008-10-01",14153
"611",611,611,2008,384.13,11,"2008-11-01",14184
"612",612,612,2008,385.56,12,"2008-12-01",14214
"613",613,613,2009,386.94,1,"2009-01-01",14245
"614",614,614,2009,387.42,2,"2009-02-01",14276
"615",615,615,2009,388.77,3,"2009-03-01",14304
"616",616,616,2009,389.44,4,"2009-04-01",14335
"617",617,617,2009,390.19,5,"2009-05-01",14365
"618",618,618,2009,389.45,6,"2009-06-01",14396
"619",619,619,2009,387.78,7,"2009-07-01",14426
"620",620,620,2009,385.92,8,"2009-08-01",14457
"621",621,621,2009,384.79,9,"2009-09-01",14488
"622",622,622,2009,384.39,10,"2009-10-01",14518
"623",623,623,2009,386,11,"2009-11-01",14549
"624",624,624,2009,387.31,12,"2009-12-01",14579
"625",625,625,2010,388.5,1,"2010-01-01",14610
"626",626,626,2010,389.94,2,"2010-02-01",14641
"627",627,627,2010,391.09,3,"2010-03-01",14669
"628",628,628,2010,392.52,4,"2010-04-01",14700
"629",629,629,2010,393.04,5,"2010-05-01",14730
"630",630,630,2010,392.15,6,"2010-06-01",14761
"631",631,631,2010,390.22,7,"2010-07-01",14791
"632",632,632,2010,388.26,8,"2010-08-01",14822
"633",633,633,2010,386.83,9,"2010-09-01",14853
"634",634,634,2010,387.2,10,"2010-10-01",14883
"635",635,635,2010,388.65,11,"2010-11-01",14914
"636",636,636,2010,389.73,12,"2010-12-01",14944
"637",637,637,2011,391.25,1,"2011-01-01",14975
"638",638,638,2011,391.82,2,"2011-02-01",15006
"639",639,639,2011,392.49,3,"2011-03-01",15034
"640",640,640,2011,393.34,4,"2011-04-01",15065
"641",641,641,2011,394.21,5,"2011-05-01",15095
"642",642,642,2011,393.72,6,"2011-06-01",15126
"643",643,643,2011,392.42,7,"2011-07-01",15156
"644",644,644,2011,390.19,8,"2011-08-01",15187
"645",645,645,2011,389.04,9,"2011-09-01",15218
"646",646,646,2011,388.96,10,"2011-10-01",15248
"647",647,647,2011,390.24,11,"2011-11-01",15279
"648",648,648,2011,391.83,12,"2011-12-01",15309
"649",649,649,2012,393.12,1,"2012-01-01",15340
"650",650,650,2012,393.6,2,"2012-02-01",15371
"651",651,651,2012,394.45,3,"2012-03-01",15400
"652",652,652,2012,396.18,4,"2012-04-01",15431
"653",653,653,2012,396.78,5,"2012-05-01",15461
"654",654,654,2012,395.83,6,"2012-06-01",15492
"655",655,655,2012,394.3,7,"2012-07-01",15522
"656",656,656,2012,392.41,8,"2012-08-01",15553
"657",657,657,2012,391.06,9,"2012-09-01",15584
"658",658,658,2012,391.01,10,"2012-10-01",15614
"659",659,659,2012,392.81,11,"2012-11-01",15645
"660",660,660,2012,394.28,12,"2012-12-01",15675
"661",661,661,2013,395.51,1,"2013-01-01",15706
"662",662,662,2013,396.8,2,"2013-02-01",15737
"663",663,663,2013,397.32,3,"2013-03-01",15765
"664",664,664,2013,398.39,4,"2013-04-01",15796
"665",665,665,2013,399.76,5,"2013-05-01",15826
"666",666,666,2013,398.58,6,"2013-06-01",15857
"667",667,667,2013,397.23,7,"2013-07-01",15887
